Café_name,Café_city,Venue_name,Venue_cat,Venue_catID
Brot & Spiele,Graz,Bar Omega,Hotel Bar,4bf58dd8d48988d1d5941735
Brot & Spiele,Graz,la piazza,Italian Restaurant,4bf58dd8d48988d110941735
Brot & Spiele,Graz,Pane,Bakery,4bf58dd8d48988d16a941735
Brot & Spiele,Graz,villa d'oro,Italian Restaurant,4bf58dd8d48988d110941735
Brot & Spiele,Graz,Djs,Cocktail Bar,4bf58dd8d48988d11e941735
Brot & Spiele,Graz,McDonald's,Burger Joint,4bf58dd8d48988d16c941735
Brot und Spiele,Vienna,H Laudongasse,Tram Station,52f2ab2ebcbc57f1066b8b51
Brot und Spiele,Vienna,Schönbornpark,Park,4bf58dd8d48988d163941735
Brot und Spiele,Vienna,Hotel-Pension ARPI,Hotel,4bf58dd8d48988d1fa931735
Brot und Spiele,Vienna,Via Toledo,Pizza Place,4bf58dd8d48988d1ca941735
Brot und Spiele,Vienna,Blumen Doll,Flower Shop,4bf58dd8d48988d11b951735
Brot und Spiele,Vienna,Hildebrandt Café,Café,4bf58dd8d48988d16d941735
Brot und Spiele,Vienna,MKV Kanzlei,Arcade,4bf58dd8d48988d1e1931735
Brot und Spiele,Vienna,Mahal,Indian Restaurant,4bf58dd8d48988d10f941735
Brot und Spiele,Vienna,Dr. Martin Jurek,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,Home of young Adolf Hitler in Vienna,Historic Site,4deefb944765f83613cdba6e
Brot und Spiele,Vienna,Creme de la creme,Café,4bf58dd8d48988d16d941735
Brot und Spiele,Vienna,Kleines Wiener Cafe,Café,4bf58dd8d48988d16d941735
Brot und Spiele,Vienna,H Laudongasse/Kochgasse,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Brot und Spiele,Vienna,Dr. Irene Seemann,Dentist's Office,4bf58dd8d48988d178941735
Brot und Spiele,Vienna,Zahn-Medizin-Zentrum,Dentist's Office,4bf58dd8d48988d178941735
Brot und Spiele,Vienna,Sportordination Physio,Medical Center,4bf58dd8d48988d104941735
Brot und Spiele,Vienna,Rühmann,Bar,4bf58dd8d48988d116941735
Brot und Spiele,Vienna,cafe zeit,Dive Bar,4bf58dd8d48988d118941735
Brot und Spiele,Vienna,Tientien,Massage Studio,52f2ab2ebcbc57f1066b8b3c
Brot und Spiele,Vienna,Pension Baronesse,Hotel,4bf58dd8d48988d1fa931735
Brot und Spiele,Vienna,Röntgenordination Dock & Mendel,Medical Lab,4f4531b14b9074f6e4fb0103
Brot und Spiele,Vienna,Task Till Done HQ 2,Tech Startup,4bf58dd8d48988d125941735
Brot und Spiele,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,52e81612bcbc57f1066b7a01
Brot und Spiele,Vienna,Muscheln & Mehr,Mediterranean Restaurant,4bf58dd8d48988d1c0941735
Brot und Spiele,Vienna,Kaisaki Running Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735
Brot und Spiele,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,4bf58dd8d48988d10f941735
Brot und Spiele,Vienna,Drei,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
Brot und Spiele,Vienna,L'osteria del Salento,Trattoria/Osteria,55a5a1ebe4b013909087cb7f
Brot und Spiele,Vienna,Volxkino,Indie Movie Theater,4bf58dd8d48988d17e941735
Brot und Spiele,Vienna,Österreichisches Museum für Volkskunde,History Museum,4bf58dd8d48988d190941735
Brot und Spiele,Vienna,Bolena,Bar,4bf58dd8d48988d116941735
Brot und Spiele,Vienna,Die Kantin,Gastropub,4bf58dd8d48988d155941735
Brot und Spiele,Vienna,Ancha's Platz,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot und Spiele,Vienna,Pizzeria Mille Notte,Italian Restaurant,4bf58dd8d48988d110941735
Brot und Spiele,Vienna,zum sussen eck,Candy Store,4bf58dd8d48988d117951735
Brot und Spiele,Vienna,Kai Saki,Asian Restaurant,4bf58dd8d48988d142941735
Brot und Spiele,Vienna,Schwerelos,Spa,4bf58dd8d48988d1ed941735
Brot und Spiele,Vienna,Antiquariat Höcher,Bookstore,4bf58dd8d48988d114951735
Brot und Spiele,Vienna,Schilddrüsenspraxis,Medical Center,4bf58dd8d48988d104941735
Brot und Spiele,Vienna,Kosmetikmacherei,Cosmetics Shop,4bf58dd8d48988d10c951735
Brot und Spiele,Vienna,Hundezone Schönbornpark,Dog Run,4bf58dd8d48988d1e5941735
Brot und Spiele,Vienna,Urban Stay (Hotel Columbia),Hotel,4bf58dd8d48988d1fa931735
Brot und Spiele,Vienna,Schöfmann,Restaurant,4bf58dd8d48988d1c4941735
Brot und Spiele,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,Stefan-Zweig-Haus,Historic Site,4deefb944765f83613cdba6e
Brot und Spiele,Vienna,BAWAG,Bank,4bf58dd8d48988d10a951735
Brot und Spiele,Vienna,The Birdyard,Restaurant,4bf58dd8d48988d1c4941735
Brot und Spiele,Vienna,U.S.W. Beisl,Bar,4bf58dd8d48988d116941735
Brot und Spiele,Vienna,Yami Noodles,Japanese Restaurant,4bf58dd8d48988d111941735
Brot und Spiele,Vienna,Dr. Klaudia Stockinger,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,Elfenbein Pole Dance,College Gym,4bf58dd8d48988d1b2941735
Brot und Spiele,Vienna,Mag. Ralph Kilches,Office,4bf58dd8d48988d124941735
Brot und Spiele,Vienna,Hackabu,Office,4bf58dd8d48988d124941735
Brot und Spiele,Vienna,Dr. Andreas Schindler,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,true nails,Nail Salon,4f04aa0c2fb6e1c99f3db0b8
Brot und Spiele,Vienna,H Laudongasse/Lederergasse (13A),Bus Stop,52f2ab2ebcbc57f1066b8b4f
Brot und Spiele,Vienna,Restaurant Dionysos,Greek Restaurant,4bf58dd8d48988d10e941735
Brot und Spiele,Vienna,Shiatsu Praxis Martina Postl,Yoga Studio,4bf58dd8d48988d102941735
Brot und Spiele,Vienna,ÖAAB Wien,Convention Center,4bf58dd8d48988d1ff931735
Brot und Spiele,Vienna,rumpelstilzchen,Toy / Game Store,4bf58dd8d48988d1f3941735
Brot und Spiele,Vienna,Grape Hq,Tech Startup,4bf58dd8d48988d125941735
Brot und Spiele,Vienna,Putzerei Harter,Laundry Service,4bf58dd8d48988d1fc941735
Brot und Spiele,Vienna,Fachärzte Kochgasse,Medical Center,4bf58dd8d48988d104941735
Brot und Spiele,Vienna,Dr. Beatrice Krüttner,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,Orthopädische Ordination Dr. Grestenberger,Medical Center,4bf58dd8d48988d104941735
Brot und Spiele,Vienna,bluem im museum,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735
Brot und Spiele,Vienna,die kugeln,Public Art,507c8c4091d498d9fc8c67a9
Brot und Spiele,Vienna,Zaharzt Dr. Kunz,Dentist's Office,4bf58dd8d48988d178941735
Brot und Spiele,Vienna,Printshop Alserstraße,Paper / Office Supplies Store,4bf58dd8d48988d121951735
Brot und Spiele,Vienna,andy's best burger,Dumpling Restaurant,4bf58dd8d48988d108941735
Brot und Spiele,Vienna,Shabby Schnitt,Salon / Barbershop,4bf58dd8d48988d110951735
Brot und Spiele,Vienna,open the door,General Entertainment,4bf58dd8d48988d1f1931735
Brot und Spiele,Vienna,Peter Solar,Dentist's Office,4bf58dd8d48988d178941735
Brot und Spiele,Vienna,Schlosserei Holl,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Brot und Spiele,Vienna,Schilddrüsenzentrum,Doctor's Office,4bf58dd8d48988d177941735
Brot und Spiele,Vienna,Postfiliale 1082 & BAWAG P.S.K.,Post Office,4bf58dd8d48988d172941735
Brot und Spiele,Vienna,Mongolisches Cafė-Restaurant 19.12,Mongolian Restaurant,4eb1d5724b900d56c88a45fe
Brot und Spiele,Vienna,Handyramschparadies,Electronics Store,4bf58dd8d48988d122951735
Brot und Spiele,Vienna,Rotes Antiquariat,Used Bookstore,52f2ab2ebcbc57f1066b8b30
Brot und Spiele,Vienna,Hemmingway's Pub,Pub,4bf58dd8d48988d11b941735
Brot und Spiele,Vienna,AKH 4L - Biomedizinische Technik,University,4bf58dd8d48988d1ae941735
Brot und Spiele,Vienna,zimmeracht,Furniture / Home Store,4bf58dd8d48988d1f8941735
Brot und Spiele,Vienna,dr. Zauneith-Canigiani / röntgen,Medical Center,4bf58dd8d48988d104941735
Brot und Spiele,Vienna,Kochgasse 8,Historic Site,4deefb944765f83613cdba6e
Brot und Spiele,Vienna,,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot und Spiele,Vienna,Golfzone,Sporting Goods Shop,4bf58dd8d48988d1f2941735
Brot und Spiele,Vienna,Golf Zone,Sporting Goods Shop,4bf58dd8d48988d1f2941735
Brot und Spiele,Vienna,SchwiMu,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot und Spiele,Vienna,Piaristengymnasium Wien 8.,College Classroom,4bf58dd8d48988d1a0941735
Brot und Spiele,Vienna,Swimming Pool Sync & Licensing,Office,4bf58dd8d48988d124941735
Brot und Spiele,Vienna,Kampftrinker-Arena Aschauer,Casino,4bf58dd8d48988d17c941735
Brot und Spiele,Vienna,ink music,Office,4bf58dd8d48988d124941735
Brot und Spiele,Vienna,Buchhaltungskanzlei Aysun Liess,Office,4bf58dd8d48988d124941735
Brot und Spiele,Vienna,Espressofilm,Indie Movie Theater,4bf58dd8d48988d17e941735
Café Benno,Vienna,1080 City Apartments,Bed & Breakfast,4bf58dd8d48988d1f8931735
Café Benno,Vienna,Haardware Friseurbedarf,Cosmetics Shop,4bf58dd8d48988d10c951735
Café Benno,Vienna,Osteria Dal Toscano,Trattoria/Osteria,55a5a1ebe4b013909087cb7f
Café Benno,Vienna,McDonald's,Fast Food Restaurant,4bf58dd8d48988d16e941735
Café Benno,Vienna,H Hernalser Gürtel,Tram Station,52f2ab2ebcbc57f1066b8b51
Café Benno,Vienna,Medizinisches Zentrum Alser Straße (mza),Medical Center,4bf58dd8d48988d104941735
Café Benno,Vienna,Hot Dog Standl,BBQ Joint,4bf58dd8d48988d1df931735
Café Benno,Vienna,Zentrum fuer Reisemedizin,Medical Center,4bf58dd8d48988d104941735
Café Benno,Vienna,Grill Lepenac,Eastern European Restaurant,4bf58dd8d48988d109941735
Café Benno,Vienna,Heidenkummer,Austrian Restaurant,52e81612bcbc57f1066b7a01
Café Benno,Vienna,Dott. Mag. Tommaso Avventi,Dentist's Office,4bf58dd8d48988d178941735
Café Benno,Vienna,Pfarre Alservorstadt,Church,4bf58dd8d48988d132941735
Café Benno,Vienna,Nora Pure Sports,Sporting Goods Shop,4bf58dd8d48988d1f2941735
Café Benno,Vienna,Crime Runners,General Entertainment,4bf58dd8d48988d1f1931735
Café Benno,Vienna,St. Anna Kinderspital,Hospital,4bf58dd8d48988d196941735
Café Benno,Vienna,Exit the Room,Arcade,4bf58dd8d48988d1e1931735
Café Benno,Vienna,The Hamam,Tanning Salon,4d1cf8421a97d635ce361c31
Café Benno,Vienna,Cafe Ex,Nightclub,4bf58dd8d48988d11f941735
Café Benno,Vienna,Zoo Alsergrund,Pet Store,4bf58dd8d48988d100951735
Café Benno,Vienna,Flarent Vienna Apartments,Vacation Rental,56aa371be4b08b9a8d5734e1
Café Benno,Vienna,united backyard cutters,Castle,50aaa49e4b90af0d42d5de11
Café Benno,Vienna,Cafe Auszeit,Café,4bf58dd8d48988d16d941735
Café Benno,Vienna,mediamid digital services GmbH,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Bennogasse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Café Benno,Vienna,B72,Music Venue,4bf58dd8d48988d1e5931735
Café Benno,Vienna,Albertplatz,Plaza,4bf58dd8d48988d164941735
Café Benno,Vienna,A1 Telekom Austria Hebragasse,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Steindl's Weinhaus,Gastropub,4bf58dd8d48988d155941735
Café Benno,Vienna,El Feo,Bar,4bf58dd8d48988d116941735
Café Benno,Vienna,Recheninstitut,College Auditorium,4bf58dd8d48988d1af941735
Café Benno,Vienna,Med. Zentrum Alser Straße (mza),Medical Center,4bf58dd8d48988d104941735
Café Benno,Vienna,Moody,Lounge,4bf58dd8d48988d121941735
Café Benno,Vienna,Institut Für Virologie,General College & University,4bf58dd8d48988d1a8941735
Café Benno,Vienna,Pub Speakeasy,Pub,4bf58dd8d48988d11b941735
Café Benno,Vienna,Kindermed,Doctor's Office,4bf58dd8d48988d177941735
Café Benno,Vienna,oliver stark - zentrum der kraft,Nightclub,4bf58dd8d48988d11f941735
Café Benno,Vienna,Institut für Spezifische Prophylaxe und Tropenmedizin,Medical School,4bf58dd8d48988d1b3941735
Café Benno,Vienna,Podologische Fußpflege Silvia Habacht-Lindauer,Health & Beauty Service,54541900498ea6ccd0202697
Café Benno,Vienna,Breitenfeldergasse 6-8,General Entertainment,4bf58dd8d48988d1f1931735
Café Benno,Vienna,Piano Bar,Hookah Bar,4bf58dd8d48988d119941735
Café Benno,Vienna,Multiple Sklerose Gesellschaft Wien,Building,4bf58dd8d48988d130941735
Café Benno,Vienna,Breitenfelder Gasse 10,Building,4bf58dd8d48988d130941735
Café Benno,Vienna,Isis Brunnen,Fountain,56aa371be4b08b9a8d573547
Café Benno,Vienna,Kebap Dürüm Hotdog,Food Stand,56aa371be4b08b9a8d57350b
Café Benno,Vienna,"Zentrum f. Public Health, Allgemein- u. Familienmedizin",Medical School,4bf58dd8d48988d1b3941735
Café Benno,Vienna,club duplex,Nightclub,4bf58dd8d48988d11f941735
Café Benno,Vienna,U6,Metro Station,4bf58dd8d48988d1fd931735
Café Benno,Vienna,Cafe - Restaurant Ka&Ko,Restaurant,4bf58dd8d48988d1c4941735
Café Benno,Vienna,Botschaft der Republic Nordmacedonien,Embassy / Consulate,4bf58dd8d48988d12c951735
Café Benno,Vienna,club medusa,Nightclub,4bf58dd8d48988d11f941735
Café Benno,Vienna,Kamera - Service u. Fotohandel Helmut Redl,Other Repair Shop,52f2ab2ebcbc57f1066b8b2f
Café Benno,Vienna,Donauwalzer,Hotel,4bf58dd8d48988d1fa931735
Café Benno,Vienna,ESN Uni Wien Office,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Sonovista Studio,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,SHARE architects,Building,4bf58dd8d48988d130941735
Café Benno,Vienna,Holzschnitzerei Staffler,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Café Benno,Vienna,Tattoo & Art Vienna,Tattoo Parlor,4bf58dd8d48988d1de931735
Café Benno,Vienna,Seniorentreff Alser Straße,Event Space,4bf58dd8d48988d171941735
Café Benno,Vienna,Kindergarten Heidi,Nursery School,4f4533814b9074f6e4fb0107
Café Benno,Vienna,Polizeianhaltezentrum,Prison,5310b8e5bcbc57f1066bcbf1
Café Benno,Vienna,pole arts,Gym / Fitness Center,4bf58dd8d48988d175941735
Café Benno,Vienna,PoleArts,Athletics & Sports,4f4528bc4b90abdf24c9de85
Café Benno,Vienna,Würstelstand Hernalser Gürtel,Hot Dog Joint,4bf58dd8d48988d16f941735
Café Benno,Vienna,Apertus der Löwenbrunnen,Well,4fbc1be21983fc883593e321
Café Benno,Vienna,Styleline By MM,Health & Beauty Service,54541900498ea6ccd0202697
Café Benno,Vienna,Diamond Beauty & More,Health & Beauty Service,54541900498ea6ccd0202697
Café Benno,Vienna,Dr. Karin Pölzl,Veterinarian,4d954af4a243a5684765b473
Café Benno,Vienna,ZI8 Coworking & Event Space,Coworking Space,4bf58dd8d48988d174941735
Café Benno,Vienna,Premiummedia,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Haus Claret,Church,4bf58dd8d48988d132941735
Café Benno,Vienna,Kräuterdrogerie,Pharmacy,4bf58dd8d48988d10f951735
Café Benno,Vienna,Hygieneinstitut,Medical School,4bf58dd8d48988d1b3941735
Café Benno,Vienna,medizinzentrum alser straße,Medical Center,4bf58dd8d48988d104941735
Café Benno,Vienna,Werbe Akademie,General College & University,4bf58dd8d48988d1a8941735
Café Benno,Vienna,Edition Steinbauer GmbH,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Café Benno,Vienna,Top Swap,Flea Market,4bf58dd8d48988d1f7941735
Café Benno,Vienna,Velio Software,Tech Startup,4bf58dd8d48988d125941735
Café Benno,Vienna,artbauer Kfz,Automotive Shop,4bf58dd8d48988d124951735
Café Benno,Vienna,Toms Hütte,General Entertainment,4bf58dd8d48988d1f1931735
Café Benno,Vienna,Feinkost•Obst•Gemüse•Imbiss•Zeitschriften,Grocery Store,4bf58dd8d48988d118951735
Café Benno,Vienna,Döblinger Hauptstraße 16/17,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Café Benno,Vienna,Raffeiner,General Entertainment,4bf58dd8d48988d1f1931735
Café Benno,Vienna,Bernis palace of drunkness,Palace,52e81612bcbc57f1066b7a14
Café Benno,Vienna,https://zi8.at/,Event Space,4bf58dd8d48988d171941735
Café Benno,Vienna,Cafe Angelo,Bar,4bf58dd8d48988d116941735
Café Benno,Vienna,Easy Sun,Tanning Salon,4d1cf8421a97d635ce361c31
Café Benno,Vienna,IFES,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Easy Sun,General Entertainment,4bf58dd8d48988d1f1931735
Café Benno,Vienna,HRVATSKI POVIJESNI INSTITUT U BECU,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Galerie,Arcade,4bf58dd8d48988d1e1931735
Café Benno,Vienna,/digiconcept/,Office,4bf58dd8d48988d124941735
Café Benno,Vienna,Atelier Rahmen-Bilder-Spiegel,Art Gallery,4bf58dd8d48988d1e2931735
Café Benno,Vienna,R& A 's,Art Gallery,4bf58dd8d48988d1e2931735
Café Benno,Vienna,moons hood,Shrine,4eb1d80a4b900d56c88a45ff
Café Benno,Vienna,Mc'i,Fast Food Restaurant,4bf58dd8d48988d16e941735
Café Benno,Vienna,Room 403,Bed & Breakfast,4bf58dd8d48988d1f8931735
Café Sperlhof,Vienna,Pfadfindergruppe Wien 51,General College & University,4bf58dd8d48988d1a8941735
Café Sperlhof,Vienna,Monte Ofelio,Deli / Bodega,4bf58dd8d48988d146941735
Café Sperlhof,Vienna,X-MAS Motorcycle Electrics,Shop & Service,4d4b7105d754a06378d81259
Café Sperlhof,Vienna,Augartenspitz,Park,4bf58dd8d48988d163941735
Café Sperlhof,Vienna,HOFER,Supermarket,52f2ab2ebcbc57f1066b8b46
Café Sperlhof,Vienna,Restaurant Leopold,Restaurant,4bf58dd8d48988d1c4941735
Café Sperlhof,Vienna,omas Backstube,Bakery,4bf58dd8d48988d16a941735
Café Sperlhof,Vienna,Filmarchiv Austria,Library,4bf58dd8d48988d12f941735
Café Sperlhof,Vienna,McDonald's,Fast Food Restaurant,4bf58dd8d48988d16e941735
Café Sperlhof,Vienna,5B Taborstraße,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Café Sperlhof,Vienna,U Taborstraße,Metro Station,4bf58dd8d48988d1fd931735
Café Sperlhof,Vienna,Urban Gardening Augartenspitz,Garden,4bf58dd8d48988d15a941735
Café Sperlhof,Vienna,Zahnarzt Dr. Zadina,Dentist's Office,4bf58dd8d48988d178941735
Café Sperlhof,Vienna,MuTh - Konzertsaal der Wiener Sängerknaben,Theater,4bf58dd8d48988d137941735
Café Sperlhof,Vienna,Machma Naturseifen,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Café Sperlhof,Vienna,Dr. Brandl,Doctor's Office,4bf58dd8d48988d177941735
Café Sperlhof,Vienna,5a Malzgasse,Bus Stop,52f2ab2ebcbc57f1066b8b4f
Café Sperlhof,Vienna,glanzrad.at,Bike Shop,4bf58dd8d48988d115951735
Café Sperlhof,Vienna,H Taborstraße,Tram Station,52f2ab2ebcbc57f1066b8b51
Café Sperlhof,Vienna,Nguyen’s,Vietnamese Restaurant,4bf58dd8d48988d14a941735
Café Sperlhof,Vienna,Miesbachgasse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Café Sperlhof,Vienna,Hundeparcours,Dog Run,4bf58dd8d48988d1e5941735
Café Sperlhof,Vienna,Bobby's Indian Stuff,Miscellaneous Shop,4bf58dd8d48988d1ff941735
Café Sperlhof,Vienna,das taschenfahrrad,Bike Shop,4bf58dd8d48988d115951735
Café Sperlhof,Vienna,Kriminalmuseum,Museum,4bf58dd8d48988d181941735
Café Sperlhof,Vienna,Volksschule Schwarzingergasse,General College & University,4bf58dd8d48988d1a8941735
